CO_MUNICIPIO_ESC,NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
3500105.0,2450382.216346154,2024.0,35509542.26923077,35.0,2.7211538461538463,1.0865384615384615,1.0,3501666.701923077,35.0,0.6923076923076923,0.7355769230769231,0.7355769230769231,0.6923076923076923,1420.3541666666667,1384.4705882352941,1396.5228758169935,1408.3541666666667,516.9826388888889,543.0045751633987,547.1326797385622,574.1465277777778,0.28365384615384615,1.0196078431372548,131.11111111111111,155.55555555555554,126.14379084967321,138.8235294117647,122.48366013071896,674.1176470588235
3500204.0,2537986.896551724,2024.0,35027352.0,35.0,2.0,1.0,1.0,3529030.0,35.0,0.4482758620689655,0.4827586206896552,0.4827586206896552,0.4482758620689655,1420.076923076923,1383.7857142857142,1395.7857142857142,1408.076923076923,479.9769230769231,489.87142857142857,509.2785714285714,514.9846153846154,0.27586206896551724,1.1428571428571428,104.28571428571429,135.71428571428572,100.0,110.0,90.0,540.0
3500303.0,2292390.2363636363,2024.0,35170716.595454544,35.0,2.109090909090909,1.0,1.0,3548378.4681818183,35.0,0.4318181818181818,0.4681818181818182,0.4681818181818182,0.4318181818181818,1420.4,1384.6019417475727,1396.611650485437,1408.4,466.1147368421053,489.4621359223301,514.9339805825242,497.97157894736847,0.25,1.3203883495145632,113.00970873786407,133.59223300970874,107.76699029126213,117.47572815533981,106.01941747572816,577.8640776699029
3500402.0,1530645.2777777778,2024.0,35020448.0,35.0,2.0,1.0,1.0,3549102.0,35.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1420.5,1384.5,1396.5,1408.5,495.275,532.65,529.9125,533.7,0.5555555555555556,1.0,127.5,157.5,122.5,137.5,125.0,670.0
3500501.0,2684092.330275229,2024.0,35034793.3853211,35.0,2.2752293577981653,1.0,1.0,3175559.119266055,31.3302752293578,0.8073394495412844,0.8440366972477065,0.8440366972477065,0.8073394495412844,1420.3837209302326,1384.3369565217392,1396.4130434782608,1408.3837209302326,500.446511627907,533.104347826087,544.0586956521739,557.4732558139534,0.09174311926605505,1.1630434782608696,125.0,150.2173913043478,118.04347826086956,133.69565217391303,121.30434782608695,648.2608695652174
3500550.0,1371501.9056603773,2024.0,35014515.0,35.0,2.0,1.0,1.0,3511569.6226415094,35.0,0.3584905660377358,0.39622641509433965,0.39622641509433965,0.3584905660377358,1419.9473684210527,1384.3809523809523,1396.5238095238096,1407.9473684210527,470.6842105263158,454.85238095238094,496.77619047619044,501.0631578947369,0.39622641509433965,1.2857142857142858,106.66666666666667,118.0952380952381,94.28571428571429,102.85714285714286,77.14285714285714,499.04761904761904
3500600.0,1412494.0,2024.0,35021234.0,35.0,2.0,1.0,1.0,3538709.0,35.0,0.4838709677419355,0.6129032258064516,0.6129032258064516,0.4838709677419355,1420.9333333333334,1384.764705882353,1396.4705882352941,1408.9333333333334,512.8066666666667,527.6411764705882,511.2117647058824,519.3466666666667,0.12903225806451613,1.0,120.0,151.76470588235293,114.11764705882354,123.52941176470588,121.17647058823529,630.5882352941177
3500709.0,2162874.785,2024.0,36214380.725,35.0,2.81,1.0,1.0,3500761.94,35.0,0.695,0.74,0.74,0.695,1420.546762589928,1384.4932432432433,1396.5135135135135,1408.546762589928,506.03884892086324,525.1486486486486,540.8304054054054,561.488489208633,0.29,1.0135135135135136,129.05405405405406,158.51351351351352,128.24324324324326,140.0,128.78378378378378,684.5945945945946
3500758.0,1709793.0833333333,2024.0,35036912.0,35.0,2.0,1.0,1.0,3522307.0,35.0,0.75,0.8333333333333334,0.8333333333333334,0.75,1420.388888888889,1384.6,1396.55,1408.388888888889,467.48333333333335,474.51000000000005,489.765,482.6722222222222,0.5416666666666666,1.25,111.0,130.0,101.0,117.0,90.0,549.0
3500808.0,2326935.0,2024.0,35031896.0,35.0,2.0,1.0,1.0,3541406.0,35.0,0.6,0.6,0.6,0.6,1420.4,1384.5333333333333,1396.4,1408.4,462.34666666666664,492.5466666666667,529.5333333333333,535.0733333333333,0.24,1.0,133.33333333333334,156.0,134.66666666666666,150.66666666666666,130.66666666666666,705.3333333333334
